0.001    0.000488575    1.87051e-06
0.051    0.00487332    0.000631275
0.101    -0.0229265    0.00155617
0.151    -0.0594474    0.00288718
0.201    -0.131434    0.00342126
0.251    -0.133069    0.00430081
0.301    -0.300786    0.00527916
0.351    -0.399311    0.00647479
0.401    -0.524232    0.00858922
0.451    -0.586785    0.0123121
0.501    -0.767643    0.0141682
0.551    -0.928169    0.00847358
0.601    -0.615628    0.0514406
0.651    -0.287709    0.0745723
0.701    0.493219    0.139668
0.751    1.47444    0.13898
0.801    3.35202    0.180478
0.851    7.743    0.382835
